# Table 7
# S0-2 Astrometric Measurements
# Published in Boehle, A., “An Improved Distance and Mass Estimate for Sgr A* from a Multistar Orbit Analysis”, <i>The Astrophysical Journal</i>, vol. 830, no. 1, 2016. doi:10.3847/0004-637X/830/1/17.
# File format:
# (Decimal)	(arcsec)	(arcsec)	(arcsec)	(arcsec)
Date	DeltaR.A.	DeltaDecl.	DeltaR.A.Error DeltaDecl.Error
1995.439	-0.0401	  0.16216	0.0010	0.00086
1996.485	-0.0481	  0.1553	0.0044	0.0029
1997.367	-0.0547	  0.1388	0.0012	0.0015
1999.333	-0.0682	  0.09808	0.0011	0.00074
1999.559	-0.0677	  0.08971	0.0011	0.00077
2000.305	-0.0638	  0.0747	0.0013	0.0016
2000.381	-0.06411  0.0643	0.00087	0.0019
2000.548	-0.0631	  0.0563	0.0014	0.0023
2000.797	-0.0584	  0.0519	0.0030	0.0019
2001.351	-0.0520	  0.0261	0.0015	0.0013
2001.572	-0.0504	  0.0152	0.0010	0.0012
2003.303	0.0386	  0.0726	0.0017	0.0016
2003.554	0.03863	  0.08430	0.00089	0.00082
2003.682	0.0435	  0.0949	0.0024	0.0019
2004.327	0.03595	  0.11539	0.00076	0.00062
2004.564	0.03261	  0.12328	0.00079	0.00053
2004.567	0.0355	  0.1261	0.0050	0.0046
2004.660	0.03137	  0.12584	0.00069	0.00060
2005.312	0.02483	  0.14110	0.00081	0.00059
2005.495	0.0201	  0.1473	0.0053	0.0023
2005.566	0.02084	  0.1492	0.00083	0.0011
2005.580	0.0235	  0.1493	0.0038	0.0010
2006.336	0.01296	  0.16191	0.00015	0.00016
2008.371	-0.01016	0.18101	0.00013	0.00014	
2008.562	-0.01232	0.18184	0.00016	0.00016	
2009.340	-0.02114	0.18266	0.00011	0.00011	
2009.561	-0.02343	0.18269	0.00013	0.00020	
2009.689	-0.02478	0.18265	0.00018	0.00014	
2010.342	-0.03194	0.18059	0.00012	0.00012	
2010.511	-0.03382	0.17984	0.00013	0.00012	
2010.620	-0.03501	0.17931	0.00016	0.00013	
2011.401	-0.04277	0.17377	0.00022	0.00017	
2011.543	-0.04423	0.17196	0.00014	0.00014	
2011.642	-0.04517	0.17121	0.00025	0.00025	
2012.371	-0.05136	0.16326	0.00013	0.00017	
2012.562	-0.05312	0.16074	0.00014	0.00020	
2013.318	-0.05837	0.14965	0.00021	0.00026	
2013.550	-0.05979	0.14541	0.00014	0.00021
